Number_ID,Sample,Name,Status,Found_RT,Actual_Ret_Index,Conc,Unit,m/z,Area,Noise,Ref_1_m/z,Ref_1_Range,Ref_1_Set_Ratio,Ref_1_Actual_Ratio,Ref_1_Measured,Ref_1_Noise,Ref_2_m/z,Ref_2_Range,Ref_2_Set_Ratio,Ref_2_Actual_Ratio,Ref_2_Measured,Ref_2_Noise,Ref_3_m/z,Ref_3_Range,Red_3_Set_Ratio,Ref_3_Actual_Ratio,Ref_3_Measured,Ref_3_Noise,Mode,RT,RT_Percent_Diff,RT_Diff,Concentrations,Date_Insight_Anal,Notes
21,LAAN_14F1207_0194_5252020_14,c18.1n9c,Accept,24.039,0,1.0307,ng/ul,55,140568,41067.92,69,103.45 - 143.45,123.45,71.97,22572,41067.92,83,96.44 - 136.44,116.44,60.6,19007,41067.92,296,0.00 - 32.98,12.98,3.31,1038,41067.92,Manual Integrate,24.14,-0.42,-0.102,"0.75, 2.5, 5, 12.5",2021-05-12,----
22,LAAN_14F1207_0194_5252020_14,c18.1n7c,Accept,24.346,0,5.549,ng/ul,55,896563,41064.78,69,126.16 - 166.16,146.16,75.91,139408,41064.78,296,0.00 - 32.17,12.17,3.15,5775,41064.78,83,95.76 - 135.76,115.76,54.17,99478,41064.78,Manual Integrate,24.41,-0.26,-0.064,"0.3, 1, 2, 5",2021-05-12,----
23,LAAN_14F1207_0194_5252020_14,c18.1B,Accept,7.017,0,0,ng/ul,55,239,344.44,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Auto,7,0.24,0.017,----,2021-05-12,----
24,LAAN_14F1207_0194_5252020_14,c18.2n6c,Accept,25.651,0,4.451,ng/ul,67,753169,34887.31,294,0.00 - 33.35,13.35,7.84,12409,34887.31,69,13.55 - 53.55,33.55,31.5,49862,34887.31,55,36.74 - 76.74,56.74,55.57,87966,34887.31,Auto,25.71,-0.23,-0.059,"0.6, 2, 4, 10",2021-05-12,----
25,LAAN_14F1207_0194_5252020_14,c18.2,Accept,----,----,----,ng/ul,67,----,113.25,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
26,LAAN_14F1207_0194_5252020_14,c18.3n6,Accept,26.551,0,0.3391,ng/ul,79,50658,3589.88,292,0.00 - 27.50,7.5,3.53,369,3589.88,150,7.75 - 47.75,27.75,16.9,1767,3589.88,194,0.00 - 29.98,9.98,6.6,690,3589.88,Auto,26.62,-0.26,-0.069,"0.45, 1.5, 3, 7.5",2021-05-12,----
27,LAAN_14F1207_0194_5252020_14,c19.0,Accept,27.116,0,21.2945,ng/ul,74,9052089,316534.85,87,44.37 - 84.37,64.37,70.61,808193,316534.85,312,1.47 - 41.47,21.47,13.44,153819,316534.85,143,8.59 - 48.59,28.59,25.61,293171,316534.85,Auto,26.96,0.58,0.156,"0.3, 1, 2, 5",2021-05-12,----
28,LAAN_14F1207_0194_5252020_14,c18.3n3,Accept,27.879,0,23.826,ng/ul,79,4435235,172483.75,236,0.00 - 23.82,3.82,3.47,23671,172483.75,108,20.90 - 60.90,40.9,38.89,265577,172483.75,292,0.00 - 24.05,4.05,3.25,22189,172483.75,Auto,27.82,0.21,0.059,"0.15, 0.5, 1, 2.5",2021-05-12,----
29,LAAN_14F1207_0194_5252020_14,c19.1A,Accept,----,----,----,ng/ul,55,----,344.44,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
30,LAAN_14F1207_0194_5252020_14,c18.4n1,Accept,----,----,----,ng/ul,79,----,920.58,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
31,LAAN_14F1207_0194_5252020_14,c20.0,Accept,30.693,0,0.016,ng/ul,74,6216,294.64,87,55.97 - 95.97,75.97,59.77,765,294.64,326,6.15 - 46.15,26.15,11.56,148,294.64,----,----,----,----,----,----,Manual Integrate,30.7,-0.02,-0.007,"0.6, 2, 4, 10",2021-05-12,----
32,LAAN_14F1207_0194_5252020_14,c20.1n11,Accept,----,----,----,ng/ul,55,----,344.44,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
33,LAAN_14F1207_0194_5252020_14,c20.1n9,Accept,31.396,0,0.3026,ng/ul,55,43581,1796.3,69,44.41 - 84.41,64.41,73.79,5930,1796.3,324,0.00 - 22.56,2.56,3.34,268,1796.3,43,38.09 - 78.09,58.09,44.33,3562,1796.3,Auto,31.44,-0.14,-0.044,"0.15, 0.5, 1, 2.5",2021-05-12,----
34,LAAN_14F1207_0194_5252020_14,c20.1n7,Accept,----,----,----,ng/ul,55,----,344.44,69,130.69 - 170.69,150.69,0,0,344.44,324,0.00 - 33.83,13.83,0,0,344.44,----,----,----,----,----,----,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
35,LAAN_14F1207_0194_5252020_14,c20.2n6,Accept,33.229,0,0.0806,ng/ul,67,13400,548.97,322,0.00 - 27.09,7.09,5.27,107,548.97,55,50.40 - 90.40,70.4,70.77,1438,548.97,95,42.62 - 82.62,62.62,71.95,1462,548.97,Auto,33.28,-0.15,-0.051,"0.45, 1.5, 3, 7.5",2021-05-12,----
36,LAAN_14F1207_0194_5252020_14,c20.3n6,Accept,34.189,0,0.0449,ng/ul,79,6358,7503.68,80,63.92 - 103.92,83.92,76.75,812,7503.68,81,47.82 - 87.82,67.82,55.2,584,7503.68,93,37.76 - 77.76,57.76,62,656,7503.68,Auto,34.24,-0.15,-0.051,"0.3, 1, 2, 5",2021-05-12,----
37,LAAN_14F1207_0194_5252020_14,c20.4n6,Accept,34.731,0,1.4641,ng/ul,79,229128,9494,150,6.60 - 46.60,26.6,18.02,7076,9494,180,0.00 - 28.23,8.23,4.88,1916,9494,318,0.00 - 90.48,0.48,0.76,297,9494,Auto,34.82,-0.26,-0.089,"0.75, 2.5, 5, 12.5",2021-05-12,----
38,LAAN_14F1207_0194_5252020_14,c20.3n3,Accept,35.586,0,0.1609,ng/ul,79,28642,1192.44,320,0.00 - 25.59,5.59,4.03,186,1192.44,264,0.00 - 23.07,3.07,3.48,161,1192.44,108,38.98 - 78.98,58.98,43.74,2021,1192.44,Auto,35.67,-0.24,-0.084,"0.15, 0.5, 1, 2.5",2021-05-12,----
39,LAAN_14F1207_0194_5252020_14,c20.4n3,Accept,----,----,----,ng/ul,79,----,920.58,108,17.16 - 57.16,37.16,58.79,388,920.58,222,0.00 - 25.14,5.14,1.97,13,920.58,318,0.00 - 21.13,1.13,0,0,920.58,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
40,LAAN_14F1207_0194_5252020_14,c20.5n3,Accept,37.161,0,5.6938,ng/ul,79,906674,36977.73,108,12.42 - 52.42,32.42,22.6,34544,36977.73,180,0.00 - 25.77,5.77,4.16,6355,36977.73,316,0.00 - 20.08,0.08,0.17,264,36977.73,Auto,37.25,-0.24,-0.089,"0.45, 1.5, 3, 7.5",2021-05-12,----
41,LAAN_14F1207_0194_5252020_14,c22.0,Accept,----,----,----,ng/ul,74,----,74.42,87,55.38 - 95.38,75.38,68.99,198,74.42,143,16.60 - 56.60,36.6,0,0,74.42,354,15.36 - 55.36,35.36,23.35,67,74.42,No peak identified,38.48,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
42,LAAN_14F1207_0194_5252020_14,c22.1,Accept,----,----,----,ng/ul,55,----,344.44,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
43,LAAN_14F1207_0194_5252020_14,c22.1n9c,Accept,----,----,----,ng/ul,55,----,121.11,55,116.11 - 156.11,136.11,100,43,121.11,69,80.00 - 120.00,100,0,0,121.11,320,49.99 - 89.99,69.99,53.49,23,121.11,Ratio of reference ion does not match,39.29,----,----,"0.6, 2, 4, 10",2021-05-12,----
44,LAAN_14F1207_0194_5252020_14,c22.1n7c,Accept,----,----,----,ng/ul,55,----,344.44,55,113.05 - 153.05,133.05,100,57,344.44,74,37.45 - 77.45,57.45,42.11,24,344.44,320,38.27 - 78.27,58.27,12.28,7,344.44,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
45,LAAN_14F1207_0194_5252020_14,c22.1A,Accept,----,----,----,ng/ul,55,----,344.44,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
46,LAAN_14F1207_0194_5252020_14,c21.5n3,Accept,----,----,----,ng/ul,79,----,920.58,108,9.78 - 49.78,29.78,58.79,388,920.58,194,0.00 - 25.52,5.52,0,0,920.58,----,----,----,----,----,----,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
47,LAAN_14F1207_0194_5252020_14,c22.2n6,Accept,----,----,----,ng/ul,67,----,227.84,350,2.90 - 42.90,22.9,4.94,4,227.84,55,51.64 - 91.64,71.64,0,0,227.84,----,----,----,----,----,----,Ratio of reference ion does not match,41.3,----,----,"0.3, 1, 2, 5",2021-05-12,----
48,LAAN_14F1207_0194_5252020_14,c23.0,Accept,----,----,----,ng/ul,74,----,31.48,368,25.14 - 65.14,45.14,0,0,31.48,87,59.93 - 99.93,79.93,70,63,31.48,----,----,----,----,----,----,Ratio of reference ion does not match,42.42,----,----,"0.45, 1.5, 3, 7.5",2021-05-12,----
49,LAAN_14F1207_0194_5252020_14,c22.PUFA,Accept,----,----,----,ng/ul,79,----,920.58,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
50,LAAN_14F1207_0194_5252020_14,c22.3n6,Accept,43.633,0,0.0132,ng/ul,79,2069,170.68,150,11.35 - 51.35,31.35,0,0,170.68,----,----,----,----,----,----,----,----,----,----,----,----,Manual Integrate,43.63,0,0.002,"0.15, 0.5, 1, 2.5",2021-05-12,----
51,LAAN_14F1207_0194_5252020_14,c22.4n6,Accept,----,----,----,ng/ul,79,----,170.47,366,0.00 - 29.50,9.5,0,0,170.47,150,9.43 - 49.43,29.43,24.59,89,170.47,313,0.00 - 30.39,10.39,26.8,97,170.47,No peak identified,43.1,----,----,"0.6, 2, 4, 10",2021-05-12,----
52,LAAN_14F1207_0194_5252020_14,c22.5n6,Accept,43.576,0,0.0267,ng/ul,79,3199,175.52,150,4.16 - 44.16,24.16,25.25,76,175.52,166,0.00 - 28.48,8.48,0,0,175.52,----,----,----,----,----,----,Auto,43.5,0.17,0.076,"0.45, 1.5, 3, 7.5",2021-05-12,----
53,LAAN_14F1207_0194_5252020_14,c22.5n3,Accept,45.515,0,0.1391,ng/ul,79,20040,931.27,108,16.14 - 56.14,36.14,21.6,679,931.27,208,0.00 - 25.79,5.79,3.15,99,931.27,----,----,----,----,----,----,Auto,45.6,-0.19,-0.085,"0.3, 1, 2, 5",2021-05-12,----
54,LAAN_14F1207_0194_5252020_14,c22.6n3,Accept,46.03,0,0.1126,ng/ul,79,16884,835.8,108,15.57 - 55.57,35.57,24.5,640,835.8,166,0.00 - 25.99,5.99,3.98,104,835.8,----,----,----,----,----,----,Auto,46,0.07,0.03,"0.75, 2.5, 5, 12.5",2021-05-12,----
55,LAAN_14F1207_0194_5252020_14,c24.0,Accept,46.346,0,0.1463,ng/ul,74,40623,1489.04,87,59.15 - 99.15,79.15,74.47,4418,1489.04,382,26.18 - 66.18,46.18,23.34,1385,1489.04,143,20.93 - 60.93,40.93,35.36,2098,1489.04,Manual Integrate,46.29,0.12,0.056,"0.15, 0.5, 1, 2.5",2021-05-12,----
56,LAAN_14F1207_0194_5252020_14,c24.1n9,Accept,----,----,----,ng/ul,55,----,218.4,348,56.91 - 96.91,76.91,15.44,42,218.4,380,0.00 - 27.17,7.17,0,0,218.4,----,----,----,----,----,----,Ratio of reference ion does not match,47.24,----,----,"0.45, 1.5, 3, 7.5",2021-05-12,----
57,LAAN_14F1207_0194_5252020_14,c8:0,Accept,6.198,0,0.0104,ng/ul,74,4666,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Auto,6.241,-0.69,-0.043,"0.15, 0.5, 1, 2.5",2021-05-12,----
58,LAAN_14F1207_0194_5252020_14,c9:0,Accept,----,----,----,ng/ul,74,----,3077.64,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7.427,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
59,LAAN_14F1207_0194_5252020_14,c10:0,Accept,8.487,0,0.0086,ng/ul,74,3659,310.75,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Manual Integrate,8.543,-0.66,-0.056,"0.3, 1, 2, 5",2021-05-12,----
60,LAAN_14F1207_0194_5252020_14,c11:0,Accept,----,----,----,ng/ul,74,----,164.07,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,9.583,----,----,"0.45, 1.5, 3, 7.5",2021-05-12,----
61,LAAN_14F1207_0194_5252020_14,c11:1,Accept,----,----,----,ng/ul,55,----,2827.78,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,10.064,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
62,LAAN_14F1207_0194_5252020_14,c12:0,Accept,10.593,0,0.0637,ng/ul,74,25837,2203.48,214,0.00 - 23.27,3.27,2.5,399,2203.48,143,0.00 - 31.43,11.43,14.81,2368,2203.48,171,0.00 - 27.50,7.5,8.19,1310,2203.48,Auto,10.625,-0.3,-0.032,"0.6, 2, 4, 10",2021-05-12,----
63,LAAN_14F1207_0194_5252020_14,c13.0,Accept,----,----,----,ng/ul,74,----,1616.81,228,0.00 - 26.29,6.29,7.75,49,1616.81,87,42.07 - 82.07,62.07,46.84,296,1616.81,69,0.00 - 31.14,11.14,0,0,1616.81,No peak identified,11.835,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
64,LAAN_14F1207_0194_5252020_14,c16:1n1,Accept,18.499,0,0.0574,ng/ul,55,7857,28696.19,69,97.80 - 137.80,117.8,55.12,1286,28696.19,268,0.00 - 30.37,10.37,0.34,8,28696.19,----,----,----,----,----,----,Manual Integrate,18.5,-0.01,-0.001,----,2021-05-12,----
65,LAAN_14F1207_0194_5252020_14,c18:4n1,Accept,28.759,0,0.8713,ng/ul,79,162196,7323.32,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Auto,28.7,0.21,0.059,----,2021-05-12,----
1,MYMA_09F0778_0166_5252020_7,c13.1,Accept,----,----,----,ng/ul,55,----,1113.2,228,0.00 - 26.29,6.29,0,0,1113.2,87,42.07 - 82.07,62.07,0,0,1113.2,69,0.00 - 31.14,11.14,5.17,9,1113.2,Ratio of reference ion does not match,12.53,----,----,"0.3, 1, 2, 5",2021-05-12,----
2,MYMA_09F0778_0166_5252020_7,c14.0,Accept,13.294,0,0.9704,ng/ul,74,412161,29207.68,87,44.14 - 84.14,64.14,63.34,115059,29207.68,143,8.20 - 48.20,28.2,22.01,39978,29207.68,242,0.00 - 29.05,9.05,4.25,7717,29207.68,Auto,13.33,-0.27,-0.036,"0.6, 2, 4, 10",2021-05-12,----
3,MYMA_09F0778_0166_5252020_7,c14.1,Accept,----,----,----,ng/ul,55,----,2412.58,87,44.14 - 84.14,64.14,48.32,86,2412.58,143,8.21 - 48.21,28.21,0,0,2412.58,242,0.00 - 29.05,9.05,15.73,28,2412.58,Ratio of reference ion does not match,13.99,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
4,MYMA_09F0778_0166_5252020_7,i15.0,Accept,----,----,----,ng/ul,74,----,1066.39,87,51.92 - 91.92,71.92,33.89,548,1066.39,43,12.33 - 52.33,32.33,19.98,323,1066.39,256,0.00 - 30.79,10.79,0.5,8,1066.39,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
5,MYMA_09F0778_0166_5252020_7,c15.0,Accept,15.161,0,0.1151,ng/ul,74,47658,3005.02,87,46.44 - 86.44,66.44,66.31,11131,3005.02,143,4.04 - 44.04,24.04,19.49,3272,3005.02,256,0.00 - 31.47,11.47,5.49,922,3005.02,Auto,15.2,-0.26,-0.039,"0.45, 1.5, 3, 7.5",2021-05-12,----
6,MYMA_09F0778_0166_5252020_7,i16.0,Accept,----,----,----,ng/ul,74,----,1066.39,87,49.12 - 89.12,69.12,2.17,117,1066.39,270,0.00 - 33.76,13.76,0.17,9,1066.39,143,5.45 - 45.45,25.45,0,0,1066.39,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
7,MYMA_09F0778_0166_5252020_7,c16.0,Accept,17.52,0,13.5682,ng/ul,74,5401265,287119.89,87,46.92 - 86.92,66.92,65.68,949754,287119.89,143,5.16 - 45.16,25.16,20.66,298736,287119.89,270,0.00 - 33.68,13.68,7.33,105984,287119.89,Auto,17.52,0,0,"0.75, 2.5, 5, 12.5",2021-05-12,----
8,MYMA_09F0778_0166_5252020_7,c16.1n13,Accept,----,----,----,ng/ul,55,----,212.49,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
9,MYMA_09F0778_0166_5252020_7,c16.1n9,Accept,----,----,----,ng/ul,55,----,212.49,55,88.10 - 128.10,108.1,100,586,212.49,69,57.99 - 97.99,77.99,125.09,733,212.49,268,0.00 - 28.60,8.6,0.51,3,212.49,No peak identified,7,----,----,----,2021-05-12,----
10,MYMA_09F0778_0166_5252020_7,c16.1n7c,Accept,----,----,----,ng/ul,55,----,14573.1,69,97.80 - 137.80,117.8,67.67,8054,14573.1,268,0.00 - 30.37,10.37,1.48,176,14573.1,----,----,----,----,----,----,Ratio of reference ion does not match,18.22,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
11,MYMA_09F0778_0166_5252020_7,c16.1n6c,Accept,----,----,----,ng/ul,55,----,212.49,69,97.80 - 137.80,117.8,119.93,638,212.49,268,0.00 - 30.37,10.37,0,0,212.49,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
12,MYMA_09F0778_0166_5252020_7,i17.0,Accept,----,----,----,ng/ul,74,----,1066.39,284,0.00 - 36.52,16.52,0.26,14,1066.39,143,12.85 - 52.85,32.85,0,0,1066.39,57,10.95 - 50.95,30.95,0.19,10,1066.39,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
13,MYMA_09F0778_0166_5252020_7,a17.0,Accept,----,----,----,ng/ul,74,----,1066.39,284,0.00 - 36.52,16.52,0.26,14,1066.39,143,12.85 - 52.85,32.85,0,0,1066.39,57,10.96 - 50.96,30.96,0.19,10,1066.39,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
14,MYMA_09F0778_0166_5252020_7,c16.2n5,Accept,----,----,----,ng/ul,67,----,55.52,74,0.00 - 28.86,8.86,0,0,55.52,69,9.62 - 49.62,29.62,45.19,61,55.52,266,0.00 - 28.96,8.96,0,0,55.52,No peak identified,7,----,----,----,2021-05-12,----
15,MYMA_09F0778_0166_5252020_7,c17.0,Accept,20.233,0,0.0528,ng/ul,74,20393,1027.07,87,49.23 - 89.23,69.23,64.01,3272,1027.07,55,13.33 - 53.33,33.33,23.38,1195,1027.07,284,0.00 - 35.42,15.42,4.79,245,1027.07,Auto,20.28,-0.24,-0.048,"0.3, 1, 2, 5",2021-05-12,----
16,MYMA_09F0778_0166_5252020_7,c17.1n9c,Accept,20.885,0,0.0531,ng/ul,55,7465,840.74,55,154.23 - 194.23,174.23,100,828,840.74,282,0.00 - 33.71,13.71,3.74,31,840.74,69,113.94 - 153.94,133.94,54.47,451,840.74,Manual Integrate,21,-0.55,-0.116,"0.15, 0.5, 1, 2.5",2021-05-12,----
17,MYMA_09F0778_0166_5252020_7,c16.4n1,Accept,----,----,----,ng/ul,79,----,131.87,266,0.00 - 21.57,1.57,21.28,20,131.87,80,36.23 - 76.23,56.23,0,0,131.87,194,0.00 - 23.42,3.42,0,0,131.87,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
18,MYMA_09F0778_0166_5252020_7,i18.0,Accept,----,----,----,ng/ul,74,----,1066.39,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
19,MYMA_09F0778_0166_5252020_7,a18.0,Accept,----,----,----,ng/ul,74,----,1066.39,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
20,MYMA_09F0778_0166_5252020_7,c18.0,Accept,23.425,0,0.8718,ng/ul,74,338138,16485.36,87,44.78 - 84.78,64.78,68.03,54080,16485.36,143,0.10 - 40.10,20.1,25.36,20157,16485.36,55,8.23 - 48.23,28.23,24.04,19112,16485.36,Auto,23.49,-0.28,-0.065,"0.45, 1.5, 3, 7.5",2021-05-12,----
21,MYMA_09F0778_0166_5252020_7,c18.1n9c,Accept,24.025,0,0.7037,ng/ul,55,95965,39921.79,69,103.45 - 143.45,123.45,73.32,13380,39921.79,83,96.44 - 136.44,116.44,59.28,10819,39921.79,296,0.00 - 32.98,12.98,3.28,598,39921.79,Manual Integrate,24.14,-0.48,-0.115,"0.75, 2.5, 5, 12.5",2021-05-12,----
22,MYMA_09F0778_0166_5252020_7,c18.1n7c,Accept,24.339,0,5.1983,ng/ul,55,839894,39929.46,69,126.16 - 166.16,146.16,75.62,135792,39929.46,296,0.00 - 32.17,12.17,3,5382,39929.46,83,95.76 - 135.76,115.76,53.05,95266,39929.46,Manual Integrate,24.41,-0.29,-0.071,"0.3, 1, 2, 5",2021-05-12,----
23,MYMA_09F0778_0166_5252020_7,c18.1B,Accept,----,----,----,ng/ul,55,----,212.49,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
24,MYMA_09F0778_0166_5252020_7,c18.2n6c,Accept,25.625,0,0.9334,ng/ul,67,157940,7358.61,294,0.00 - 33.35,13.35,6.49,2196,7358.61,69,13.55 - 53.55,33.55,31.03,10502,7358.61,55,36.74 - 76.74,56.74,54.44,18423,7358.61,Auto,25.71,-0.33,-0.085,"0.6, 2, 4, 10",2021-05-12,----
25,MYMA_09F0778_0166_5252020_7,c18.2,Accept,----,----,----,ng/ul,67,----,55.52,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
26,MYMA_09F0778_0166_5252020_7,c18.3n6,Accept,26.541,0,0.3032,ng/ul,79,45287,3803.5,292,0.00 - 27.50,7.5,2.42,231,3803.5,150,7.75 - 47.75,27.75,16.77,1601,3803.5,194,0.00 - 29.98,9.98,5.1,487,3803.5,Auto,26.62,-0.3,-0.079,"0.45, 1.5, 3, 7.5",2021-05-12,----
27,MYMA_09F0778_0166_5252020_7,c19.0,Accept,27.079,0,23.2957,ng/ul,74,9902737,354377.35,87,44.37 - 84.37,64.37,68.59,916305,354377.35,312,1.47 - 41.47,21.47,13.04,174190,354377.35,143,8.59 - 48.59,28.59,24.68,329759,354377.35,Auto,26.96,0.44,0.119,"0.3, 1, 2, 5",2021-05-12,----
28,MYMA_09F0778_0166_5252020_7,c18.3n3,Accept,27.781,0,0.6133,ng/ul,79,114173,4909.61,236,0.00 - 23.82,3.82,3.49,766,4909.61,108,20.90 - 60.90,40.9,35.48,7787,4909.61,292,0.00 - 24.05,4.05,2.77,607,4909.61,Auto,27.82,-0.14,-0.04,"0.15, 0.5, 1, 2.5",2021-05-12,----
29,MYMA_09F0778_0166_5252020_7,c19.1A,Accept,----,----,----,ng/ul,55,----,212.49,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
30,MYMA_09F0778_0166_5252020_7,c18.4n1,Accept,----,----,----,ng/ul,79,----,131.87,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
31,MYMA_09F0778_0166_5252020_7,c20.0,Accept,30.69,0,0.0157,ng/ul,74,6083,269.22,87,55.97 - 95.97,75.97,64.26,737,269.22,326,6.15 - 46.15,26.15,2.01,23,269.22,----,----,----,----,----,----,Manual Integrate,30.7,-0.03,-0.01,"0.6, 2, 4, 10",2021-05-12,----
32,MYMA_09F0778_0166_5252020_7,c20.1n11,Accept,----,----,----,ng/ul,55,----,212.49,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
33,MYMA_09F0778_0166_5252020_7,c20.1n9,Accept,----,----,----,ng/ul,55,----,158.5,69,44.41 - 84.41,64.41,80.94,484,158.5,324,0.00 - 22.56,2.56,0,0,158.5,43,38.09 - 78.09,58.09,70.07,419,158.5,No peak identified,31.44,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
34,MYMA_09F0778_0166_5252020_7,c20.1n7,Accept,----,----,----,ng/ul,55,----,212.49,69,130.69 - 170.69,150.69,119.93,638,212.49,324,0.00 - 33.83,13.83,2.63,14,212.49,----,----,----,----,----,----,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
35,MYMA_09F0778_0166_5252020_7,c20.2n6,Accept,33.223,0,0.0702,ng/ul,67,11665,466.85,322,0.00 - 27.09,7.09,6.57,112,466.85,55,50.40 - 90.40,70.4,66.88,1141,466.85,95,42.62 - 82.62,62.62,79.43,1355,466.85,Auto,33.28,-0.17,-0.057,"0.45, 1.5, 3, 7.5",2021-05-12,----
36,MYMA_09F0778_0166_5252020_7,c20.3n6,Accept,34.177,0,0.1347,ng/ul,79,19065,12957.6,80,63.92 - 103.92,83.92,82.63,2869,12957.6,81,47.82 - 87.82,67.82,69.07,2398,12957.6,93,37.76 - 77.76,57.76,60.4,2097,12957.6,Auto,34.24,-0.18,-0.063,"0.3, 1, 2, 5",2021-05-12,----
37,MYMA_09F0778_0166_5252020_7,c20.4n6,Accept,34.737,0,2.4362,ng/ul,79,381250,16097.47,150,6.60 - 46.60,26.6,18.3,12150,16097.47,180,0.00 - 28.23,8.23,4.84,3215,16097.47,318,0.00 - 90.48,0.48,0.82,545,16097.47,Auto,34.82,-0.24,-0.084,"0.75, 2.5, 5, 12.5",2021-05-12,----
38,MYMA_09F0778_0166_5252020_7,c20.3n3,Accept,----,----,----,ng/ul,79,----,155.48,320,0.00 - 25.59,5.59,0,0,155.48,264,0.00 - 23.07,3.07,11.59,8,155.48,108,38.98 - 78.98,58.98,31.88,22,155.48,Ratio of reference ion does not match,35.67,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
39,MYMA_09F0778_0166_5252020_7,c20.4n3,Accept,----,----,----,ng/ul,79,----,131.87,108,17.16 - 57.16,37.16,29.91,227,131.87,222,0.00 - 25.14,5.14,0,0,131.87,318,0.00 - 21.13,1.13,2.5,19,131.87,No peak identified,7,----,----,----,2021-05-12,----
40,MYMA_09F0778_0166_5252020_7,c20.5n3,Accept,37.231,0,23.0481,ng/ul,79,3670170,136202.19,108,12.42 - 52.42,32.42,23.47,122889,136202.19,180,0.00 - 25.77,5.77,4.33,22664,136202.19,316,0.00 - 20.08,0.08,0.15,796,136202.19,Auto,37.25,-0.05,-0.019,"0.45, 1.5, 3, 7.5",2021-05-12,----
41,MYMA_09F0778_0166_5252020_7,c22.0,Accept,38.511,0,0.0313,ng/ul,74,9407,368.9,87,55.38 - 95.38,75.38,68.07,1102,368.9,143,16.60 - 56.60,36.6,33.05,535,368.9,354,15.36 - 55.36,35.36,18.47,299,368.9,Auto,38.48,0.08,0.031,"0.15, 0.5, 1, 2.5",2021-05-12,----
42,MYMA_09F0778_0166_5252020_7,c22.1,Accept,----,----,----,ng/ul,55,----,212.49,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
